"
Nitecore BP20 Multi-Purpose Backpack - 20L - Black
",nitecore-bp20-multi-purpose-backpack.html,"
$69.95
                ",2018-01-19 13:58:58.046876
"
Ultimate Survival Technologies Paper Pad with Pencil - 3 x 5-inch Tear-Proof and Waterproof 50-Page Notebook (20-310-116)
",ust-20-310-116.html,"
$3.25
                ",2018-01-19 13:58:58.047876
"
Ultimate Survival Technologies Survival Bandana with Survival Tips - 22 x 22-inch - High-Visibility Orange (20-PGR0001-08)
",ust-20-pgr0001-08.html,"
$2.00
                ",2018-01-19 13:58:58.048877
"
Fenix TK25 Red LED Flashlight - CREE XP-G2 LED - CREE XP-E2 Red LED - 1000 Lumens - Uses 1 x 18650 or 2 x CR123A
",fenix-tk25-red-led-flashlight.html,"
$89.95
                ",2018-01-19 13:58:58.049877
"
Fenix TK35UE 2018 Ultimate Edition Multi-Functional Flashlight - CREE XHP70 LED - 3200 Lumens - Uses 2 x 18650
",fenix-tk35ue-multi-functional-led-flashlight.html,"
$139.95
                ",2018-01-19 13:58:58.049877
"
Sunwayman C41CT Rechargeable LED Flashlight - CREE XM-L2 U3 LED - 1000 Lumens - Uses 1 x 18650 or 2 x CR123A
",sunwayman-c41ct-rechargeable-led-flashlight.html,"
$59.00
                ",2018-01-19 13:58:58.050878
"
Nitecore HC65 Rechargeable LED Headlamp - CREE XM-L2 U2 - 1000 Lumens - Uses 1 x 18650 (included)
",nitecore-hc65-led-headlamp.html,"
$74.95
                ",2018-01-19 13:58:58.051879
"
Olight S1 MINI Baton EDC Flashlight - CREE XM-L2 CW LED - 600 Lumens - Includes 1 x 16340 RCR123A
",olight-s1-mini-baton-edc-flashlight.html,"
$49.95
                ",2018-01-19 13:58:58.052880
"
Fenix HL32R Rechargeable LED Headlamp - CREE XP-G3 and Nichia Red LED - 600 Lumens - Uses Built-In 2000mAh Li-Poly Battery Pack
",fenix-hl32r-rechargeable-headlamp.html,"
$54.95
                ",2018-01-19 13:58:58.053880
"
JETBeam SF-AA01 EDC Flashlight - 1 x CREE XP-L HI LED - 700 Lumens - Uses 1 x AA or 1 x 14500 (Available Add-on!)
",jetbeam-sf-aa01-edc-flashlight.html,"
$36.45
                ",2018-01-19 13:58:58.053880
"
Klarus ST10 Rechargeable LED Flashlight - CREE XM-L2 U2 LED - 1100 Lumens - Uses 1 x 18650 (included) or 2 x CR123A
",klarus-st10-rechargeable-led-flashlight.html,"
$44.95
                ",2018-01-19 13:58:58.054881
"
Titanium Innovations 9V 1200mAh Lithium Primary (LiMnO2) Battery - 10 Pack Contractor Pack - Snap Connectors (CR9V-BX10)
",titanium-innovations-9-volt-lithium-10-box.html,"
$49.00
                ",2018-01-19 13:58:58.055881
"
Olight PL1 II Valkyrie LED Pistol Light - Picatinny and Glock Rails - CREE XP-L CW LED - 450 Lumens - Includes 1 x CR123A
","
$59.95
                ",olight-valkyrie.html,2018-01-19 14:00:18.737349
"
Nitecore EC23 LED Flashlight - CREE XHP35 HD E2 - 1800 Lumens - Uses 1 x IMR 18650 or 2 x CR123As
","
$54.95
                ",nitecore-ec23-led-flashlight.html,2018-01-19 14:00:18.739350
"
Nitecore HC60 USB Rechargeable Headlamp - CREE XM-L2 U2 LED - 1000 Lumens - Uses 1 x 18650 (Included) or 2 x CR123As
","
$59.95
                ",nitecore-hc60-headlamp.html,2018-01-19 14:00:18.740351
"
Sunwayman T20CC USB Rechargeable Tri-Color Tactical Flashlight - CREE XM-L2 U3 White LED - Red, Green and UV Outputs - 1000 Lumens - Uses 1 x 18650 or 2 x CR123A - Black or Gray
","
$79.00
                ",sunwayman-t20cc-opt.html,2018-01-19 14:00:18.741350
"
Klarus XT2CR Rechargeable Tactical Flashlight - CREE XHP35 HD E4 - 1600 Lumens - Uses 1 x 18650 (included) or 2 x CR123A
","
$74.95
                ",klarus-xt2cr-tactical-flashlight.html,2018-01-19 14:00:18.743352
"
Olight M2R Warrior Rechargeable Pocket-Friendly Tactical Flashlight - CREE XHP35 HD LED - Cool White or Neutral White - 1500 Lumens - Uses 1 x 18650 (Included) or 2 x CR123As
","
$99.95
                ",olight-m2r-tactical-led-flashlight.html,2018-01-19 14:00:18.744352
"
Klarus Mini One Ti Micro-USB Rechargeable LED Keychain Flashlight - CREE XP-G3 - 130 Lumens - Titanium - Includes 1 x 10180
","
$39.95
                ",klarus-mini-one-ti-keychain-light.html,2018-01-19 14:00:18.745354
"
Klarus XT11GT HD Rechargeable Tactical Flashlight - CREE XHP35 HD E4 LED - 2000 Lumens - Uses 2 x CR123A  or 1 x 18650 (Included)
","
$89.95
                ",klarus-xt11gt-hd-flashlight.html,2018-01-19 14:00:18.746353
"
Olight S30R Baton III USB Rechargeable Flashlight - CREE XM-L2 LED - 1050 Lumens - Includes 1 x 18650
","
$79.95
                ",olight-s30r-iii.html,2018-01-19 14:00:18.748355
"
Fenix HL40R Rechargeable Focusable LED Headlamp - CREE XP-L HI V2 LED - 600 Lumens - Includes Built-In Li-Poly Battery Pack - Blue or Grey
","
$59.95
                ",fenix-hl40r-focusable-led-headlamp.html,2018-01-19 14:00:18.749356
"
Nitecore TINI USB Rechargeable LED Key Light - CREE XP-G2 S3 LED - 380 Lumens - Includes 1 x Li-Ion Battery Pack
","
$29.99
                ",nitecore-tini.html,2018-01-19 14:00:18.750356
"
Duracell Procell PC1500 AA 1.5V Alkaline Button Top Battery - Contractor Pack, Priced Per Cell
","
$0.45
                ",pc-1500.html,2018-01-19 14:00:18.751357
